"  Pendulum"
"MEA_ANGLE_1: VARIABLE_CLASS/1"

"Time      "	"MEA_ANGLE_1.Q"
0.000000e+00	3.000000e+01
1.000000e-03	2.999986e+01
2.000000e-03	2.999944e+01
3.000000e-03	2.999873e+01
4.000000e-03	2.999775e+01
5.000000e-03	2.999649e+01
6.000000e-03	2.999494e+01
7.000000e-03	2.999312e+01
8.000000e-03	2.999101e+01
9.000000e-03	2.998862e+01
1.000000e-02	2.998595e+01
1.100000e-02	2.998300e+01
1.200000e-02	2.997977e+01
1.300000e-02	2.997626e+01
1.400000e-02	2.997247e+01
1.500000e-02	2.996840e+01
1.600000e-02	2.996405e+01
1.700000e-02	2.995941e+01
1.800000e-02	2.995450e+01
1.900000e-02	2.994930e+01
2.000000e-02	2.994383e+01
2.100000e-02	2.993807e+01
2.200000e-02	2.993204e+01
2.300000e-02	2.992572e+01
2.400000e-02	2.991912e+01
2.500000e-02	2.991224e+01
2.600000e-02	2.990509e+01
2.700000e-02	2.989765e+01
2.800000e-02	2.988993e+01
2.900000e-02	2.988193e+01
3.000000e-02	2.987366e+01
3.100000e-02	2.986510e+01
3.200000e-02	2.985626e+01
3.300000e-02	2.984715e+01
3.400000e-02	2.983775e+01
3.500000e-02	2.982807e+01
3.600000e-02	2.981812e+01
3.700000e-02	2.980788e+01
3.800000e-02	2.979737e+01
3.900000e-02	2.978658e+01
4.000000e-02	2.977550e+01
4.100000e-02	2.976415e+01
4.200000e-02	2.975252e+01
4.300000e-02	2.974061e+01
4.400000e-02	2.972842e+01
4.500000e-02	2.971596e+01
4.600000e-02	2.970321e+01
4.700000e-02	2.969019e+01
4.800000e-02	2.967689e+01
4.900000e-02	2.966331e+01
5.000000e-02	2.964945e+01
5.100000e-02	2.963531e+01
5.200000e-02	2.962090e+01
5.300000e-02	2.960621e+01
5.400000e-02	2.959124e+01
5.500000e-02	2.957599e+01
5.600000e-02	2.956047e+01
5.700000e-02	2.954466e+01
5.800000e-02	2.952859e+01
5.900000e-02	2.951223e+01
6.000000e-02	2.949560e+01
6.100000e-02	2.947869e+01
6.200000e-02	2.946150e+01
6.300000e-02	2.944404e+01
6.400000e-02	2.942631e+01
6.500000e-02	2.940829e+01
6.600000e-02	2.939000e+01
6.700000e-02	2.937144e+01
6.800000e-02	2.935260e+01
6.900000e-02	2.933348e+01
7.000000e-02	2.931409e+01
7.100000e-02	2.929442e+01
7.200000e-02	2.927448e+01
7.300000e-02	2.925426e+01
7.400000e-02	2.923377e+01
7.500000e-02	2.921301e+01
7.600000e-02	2.919197e+01
7.700000e-02	2.917065e+01
7.800000e-02	2.914906e+01
7.900000e-02	2.912720e+01
8.000000e-02	2.910507e+01
8.100000e-02	2.908266e+01
8.200000e-02	2.905998e+01
8.300000e-02	2.903703e+01
8.400000e-02	2.901380e+01
8.500000e-02	2.899030e+01
8.600000e-02	2.896653e+01
8.700000e-02	2.894248e+01
8.800000e-02	2.891817e+01
8.900000e-02	2.889358e+01
9.000000e-02	2.886872e+01
9.100000e-02	2.884359e+01
9.200000e-02	2.881819e+01
9.300000e-02	2.879252e+01
9.400000e-02	2.876658e+01
9.500000e-02	2.874036e+01
9.600000e-02	2.871388e+01
9.700000e-02	2.868713e+01
9.800000e-02	2.866010e+01
9.900000e-02	2.863281e+01
1.000000e-01	2.860525e+01
1.010000e-01	2.857742e+01
1.020000e-01	2.854932e+01
1.030000e-01	2.852095e+01
1.040000e-01	2.849231e+01
1.050000e-01	2.846341e+01
1.060000e-01	2.843424e+01
1.070000e-01	2.840480e+01
1.080000e-01	2.837509e+01
1.090000e-01	2.834512e+01
1.100000e-01	2.831488e+01
1.110000e-01	2.828437e+01
1.120000e-01	2.825360e+01
1.130000e-01	2.822256e+01
1.140000e-01	2.819125e+01
1.150000e-01	2.815968e+01
1.160000e-01	2.812785e+01
1.170000e-01	2.809575e+01
1.180000e-01	2.806338e+01
1.190000e-01	2.803075e+01
1.200000e-01	2.799786e+01
1.210000e-01	2.796470e+01
1.220000e-01	2.793128e+01
1.230000e-01	2.789759e+01
1.240000e-01	2.786365e+01
1.250000e-01	2.782944e+01
1.260000e-01	2.779497e+01
1.270000e-01	2.776023e+01
1.280000e-01	2.772524e+01
1.290000e-01	2.768998e+01
1.300000e-01	2.765446e+01
1.310000e-01	2.761868e+01
1.320000e-01	2.758264e+01
1.330000e-01	2.754634e+01
1.340000e-01	2.750978e+01
1.350000e-01	2.747297e+01
1.360000e-01	2.743589e+01
1.370000e-01	2.739855e+01
1.380000e-01	2.736096e+01
1.390000e-01	2.732310e+01
1.400000e-01	2.728499e+01
1.410000e-01	2.724662e+01
1.420000e-01	2.720799e+01
1.430000e-01	2.716911e+01
1.440000e-01	2.712997e+01
1.450000e-01	2.709057e+01
1.460000e-01	2.705092e+01
1.470000e-01	2.701101e+01
1.480000e-01	2.697085e+01
1.490000e-01	2.693043e+01
1.500000e-01	2.688976e+01
1.510000e-01	2.684884e+01
1.520000e-01	2.680766e+01
1.530000e-01	2.676622e+01
1.540000e-01	2.672454e+01
1.550000e-01	2.668260e+01
1.560000e-01	2.664041e+01
1.570000e-01	2.659796e+01
1.580000e-01	2.655527e+01
1.590000e-01	2.651232e+01
1.600000e-01	2.646913e+01
1.610000e-01	2.642568e+01
1.620000e-01	2.638198e+01
1.630000e-01	2.633803e+01
1.640000e-01	2.629384e+01
1.650000e-01	2.624939e+01
1.660000e-01	2.620470e+01
1.670000e-01	2.615976e+01
1.680000e-01	2.611457e+01
1.690000e-01	2.606913e+01
1.700000e-01	2.602345e+01
1.710000e-01	2.597752e+01
1.720000e-01	2.593134e+01
1.730000e-01	2.588492e+01
1.740000e-01	2.583825e+01
1.750000e-01	2.579134e+01
1.760000e-01	2.574418e+01
1.770000e-01	2.569678e+01
1.780000e-01	2.564914e+01
1.790000e-01	2.560125e+01
1.800000e-01	2.555312e+01
1.810000e-01	2.550474e+01
1.820000e-01	2.545613e+01
1.830000e-01	2.540727e+01
1.840000e-01	2.535818e+01
1.850000e-01	2.530884e+01
1.860000e-01	2.525926e+01
1.870000e-01	2.520944e+01
1.880000e-01	2.515938e+01
1.890000e-01	2.510909e+01
1.900000e-01	2.505855e+01
1.910000e-01	2.500778e+01
1.920000e-01	2.495677e+01
1.930000e-01	2.490552e+01
1.940000e-01	2.485404e+01
1.950000e-01	2.480232e+01
1.960000e-01	2.475036e+01
1.970000e-01	2.469817e+01
1.980000e-01	2.464575e+01
1.990000e-01	2.459309e+01
2.000000e-01	2.454019e+01
2.010000e-01	2.448707e+01
2.020000e-01	2.443371e+01
2.030000e-01	2.438012e+01
2.040000e-01	2.432629e+01
2.050000e-01	2.427223e+01
2.060000e-01	2.421795e+01
2.070000e-01	2.416343e+01
2.080000e-01	2.410868e+01
2.090000e-01	2.405371e+01
2.100000e-01	2.399850e+01
2.110000e-01	2.394307e+01
2.120000e-01	2.388740e+01
2.130000e-01	2.383151e+01
2.140000e-01	2.377540e+01
2.150000e-01	2.371905e+01
2.160000e-01	2.366248e+01
2.170000e-01	2.360569e+01
2.180000e-01	2.354867e+01
2.190000e-01	2.349143e+01
2.200000e-01	2.343396e+01
2.210000e-01	2.337627e+01
2.220000e-01	2.331835e+01
2.230000e-01	2.326021e+01
2.240000e-01	2.320185e+01
2.250000e-01	2.314327e+01
2.260000e-01	2.308447e+01
2.270000e-01	2.302545e+01
2.280000e-01	2.296621e+01
2.290000e-01	2.290675e+01
2.300000e-01	2.284707e+01
2.310000e-01	2.278717e+01
2.320000e-01	2.272706e+01
2.330000e-01	2.266673e+01
2.340000e-01	2.260618e+01
2.350000e-01	2.254541e+01
2.360000e-01	2.248443e+01
2.370000e-01	2.242324e+01
2.380000e-01	2.236183e+01
2.390000e-01	2.230020e+01
2.400000e-01	2.223837e+01
2.410000e-01	2.217632e+01
2.420000e-01	2.211406e+01
2.430000e-01	2.205159e+01
2.440000e-01	2.198890e+01
2.450000e-01	2.192601e+01
2.460000e-01	2.186290e+01
2.470000e-01	2.179959e+01
2.480000e-01	2.173607e+01
2.490000e-01	2.167234e+01
2.500000e-01	2.160840e+01
2.510000e-01	2.154426e+01
2.520000e-01	2.147991e+01
2.530000e-01	2.141535e+01
2.540000e-01	2.135059e+01
2.550000e-01	2.128563e+01
2.560000e-01	2.122046e+01
2.570000e-01	2.115508e+01
2.580000e-01	2.108951e+01
2.590000e-01	2.102373e+01
2.600000e-01	2.095775e+01
2.610000e-01	2.089157e+01
2.620000e-01	2.082519e+01
