"SliderCrank"
"PART_4: PART/4"

"Time      "	"PART_4_XFORM.ACCX"
0.000000e+00	-3.289868e+07
1.000000e-04	-3.289552e+07
2.000000e-04	-3.288605e+07
3.000000e-04	-3.287027e+07
4.000000e-04	-3.284818e+07
5.000000e-04	-3.281978e+07
6.000000e-04	-3.278508e+07
7.000000e-04	-3.274408e+07
8.000000e-04	-3.269678e+07
9.000000e-04	-3.264319e+07
1.000000e-03	-3.258332e+07
1.100000e-03	-3.251718e+07
1.200000e-03	-3.244477e+07
1.300000e-03	-3.236610e+07
1.400000e-03	-3.228119e+07
1.500000e-03	-3.219004e+07
1.600000e-03	-3.209266e+07
1.700000e-03	-3.198907e+07
1.800000e-03	-3.187928e+07
1.900000e-03	-3.176330e+07
2.000000e-03	-3.164115e+07
2.100000e-03	-3.151285e+07
2.200000e-03	-3.137841e+07
2.300000e-03	-3.123784e+07
2.400000e-03	-3.109118e+07
2.500000e-03	-3.093843e+07
2.600000e-03	-3.077963e+07
2.700000e-03	-3.061478e+07
2.800000e-03	-3.044392e+07
2.900000e-03	-3.026706e+07
3.000000e-03	-3.008424e+07
3.100000e-03	-2.989547e+07
3.200000e-03	-2.970079e+07
3.300000e-03	-2.950022e+07
3.400000e-03	-2.929379e+07
3.500000e-03	-2.908154e+07
3.600000e-03	-2.886349e+07
3.700000e-03	-2.863968e+07
3.800000e-03	-2.841014e+07
3.900000e-03	-2.817491e+07
4.000000e-03	-2.793402e+07
4.100000e-03	-2.768752e+07
4.200000e-03	-2.743544e+07
4.300000e-03	-2.717782e+07
4.400000e-03	-2.691472e+07
4.500000e-03	-2.664616e+07
4.600000e-03	-2.637220e+07
4.700000e-03	-2.609288e+07
4.800000e-03	-2.580826e+07
4.900000e-03	-2.551838e+07
5.000000e-03	-2.522329e+07
5.100000e-03	-2.492306e+07
5.200000e-03	-2.461773e+07
5.300000e-03	-2.430736e+07
5.400000e-03	-2.399201e+07
5.500000e-03	-2.367175e+07
5.600000e-03	-2.334663e+07
5.700000e-03	-2.301672e+07
5.800000e-03	-2.268209e+07
5.900000e-03	-2.234281e+07
6.000000e-03	-2.199894e+07
6.100000e-03	-2.165057e+07
6.200000e-03	-2.129776e+07
6.300000e-03	-2.094059e+07
6.400000e-03	-2.057915e+07
6.500000e-03	-2.021351e+07
6.600000e-03	-1.984376e+07
6.700000e-03	-1.946998e+07
6.800000e-03	-1.909227e+07
6.900000e-03	-1.871071e+07
7.000000e-03	-1.832539e+07
7.100000e-03	-1.793642e+07
7.200000e-03	-1.754389e+07
7.300000e-03	-1.714791e+07
7.400000e-03	-1.674856e+07
7.500000e-03	-1.634597e+07
7.600000e-03	-1.594024e+07
7.700000e-03	-1.553147e+07
7.800000e-03	-1.511979e+07
7.900000e-03	-1.470530e+07
8.000000e-03	-1.428813e+07
8.100000e-03	-1.386840e+07
8.200000e-03	-1.344623e+07
8.300000e-03	-1.302174e+07
8.400000e-03	-1.259507e+07
8.500000e-03	-1.216634e+07
8.600000e-03	-1.173569e+07
8.700000e-03	-1.130326e+07
8.800000e-03	-1.086917e+07
8.900000e-03	-1.043358e+07
9.000000e-03	-9.996629e+06
9.100000e-03	-9.558457e+06
9.200000e-03	-9.119213e+06
9.300000e-03	-8.679049e+06
9.400000e-03	-8.238116e+06
9.500000e-03	-7.796569e+06
9.600000e-03	-7.354562e+06
9.700000e-03	-6.912255e+06
9.800000e-03	-6.469808e+06
9.900000e-03	-6.027381e+06
1.000000e-02	-5.585140e+06
1.010000e-02	-5.143248e+06
1.020000e-02	-4.701871e+06
1.030000e-02	-4.261179e+06
